ADM3_EN,ADM3_PCODE,ADM3_REF,ADM3ALT1EN,ADM3ALT2EN,ADM2_EN,ADM2_PCODE,ADM1_EN,ADM1_PCODE,ADM0_EN,ADM0_PCODE
Dolores,PH082606000,NA,NA,NA,Eastern Samar,PH082600000,Region VIII,PH080000000,Philippines (the),PH
Dolores,PH140107000,NA,NA,NA,Abra,PH140100000,Cordillera Administrative Region,PH140000000,Philippines (the),PH
Don Carlos,PH101304000,NA,NA,NA,Bukidnon,PH101300000,Region X,PH100000000,Philippines (the),PH
Don Marcelino,PH118601000,NA,NA,NA,Davao Occidental,PH118600000,Region XI,PH110000000,Philippines (the),PH
Don Victoriano Chiongbian,PH104217000,NA,NA,NA,Misamis Occidental,PH104200000,Region X,PH100000000,Philippines (the),PH
Doña Remedios Trinidad,PH031424000,Dona Remedios Trinidad,NA,NA,Bulacan,PH031400000,Region III,PH030000000,Philippines (the),PH
Donsol,PH056207000,NA,NA,NA,Sorsogon,PH056200000,Region V,PH050000000,Philippines (the),PH
Dueñas,PH063017000,Duenas,NA,NA,Iloilo,PH063000000,Region VI,PH060000000,Philippines (the),PH
Duero,PH071221000,NA,NA,NA,Bohol,PH071200000,Region VII,PH070000000,Philippines (the),PH
Dulag,PH083718000,NA,NA,NA,Leyte,PH083700000,Region VIII,PH080000000,Philippines (the),PH
Dumaguete City,PH074610000,NA,NA,NA,Negros Oriental,PH074600000,Region VII,PH070000000,Philippines (the),PH
Dumalag,PH061903000,NA,NA,NA,Capiz,PH061900000,Region VI,PH060000000,Philippines (the),PH
Dumalinao,PH097307000,NA,NA,NA,Zamboanga del Sur,PH097300000,Region IX,PH090000000,Philippines (the),PH
Dumalneg,PH012810000,NA,NA,NA,Ilocos Norte,PH012800000,Region I,PH010000000,Philippines (the),PH
Dumangas,PH063018000,NA,NA,NA,Iloilo,PH063000000,Region VI,PH060000000,Philippines (the),PH
Dumanjug,PH072224000,NA,NA,NA,Cebu,PH072200000,Region VII,PH070000000,Philippines (the),PH
Dumaran,PH175311000,NA,NA,NA,Palawan,PH175300000,Region IV-B,PH170000000,Philippines (the),PH
Dumarao,PH061904000,NA,NA,NA,Capiz,PH061900000,Region VI,PH060000000,Philippines (the),PH
Dumingag,PH097308000,NA,NA,NA,Zamboanga del Sur,PH097300000,Region IX,PH090000000,Philippines (the),PH
Dupax del Norte,PH025007000,NA,NA,NA,Nueva Vizcaya,PH025000000,Region II,PH020000000,Philippines (the),PH
Dupax del Sur,PH025008000,NA,NA,NA,Nueva Vizcaya,PH025000000,Region II,PH020000000,Philippines (the),PH
Echague,PH023112000,NA,NA,NA,Isabela,PH023100000,Region II,PH020000000,Philippines (the),PH
El Nido,PH175312000,NA,NA,NA,Palawan,PH175300000,Region IV-B,PH170000000,Philippines (the),PH
Enrile,PH021512000,NA,NA,NA,Cagayan,PH021500000,Region II,PH020000000,Philippines (the),PH
Enrique B. Magalona,PH064508000,NA,NA,NA,Negros Occidental,PH064500000,Region VI,PH060000000,Philippines (the),PH
Enrique Villanueva,PH076101000,NA,NA,NA,Siquijor,PH076100000,Region VII,PH070000000,Philippines (the),PH
Ermita,PH133908000,NA,NA,NA,NCR,PH133900000,National Capital Region,PH130000000,Philippines (the),PH
Esperanza,PH054109000,NA,NA,NA,Masbate,PH054100000,Region V,PH050000000,Philippines (the),PH
Esperanza,PH126503000,NA,NA,NA,Sultan Kudarat,PH126500000,Region XII,PH120000000,Philippines (the),PH
Esperanza,PH160303000,NA,NA,NA,Agusan del Sur,PH160300000,Region XIII,PH160000000,Philippines (the),PH
Estancia,PH063019000,NA,NA,NA,Iloilo,PH063000000,Region VI,PH060000000,Philippines (the),PH
Famy,PH043408000,NA,NA,NA,Laguna,PH043400000,Region IV-A,PH040000000,Philippines (the),PH
Ferrol,PH175916000,NA,NA,NA,Romblon,PH175900000,Region IV-B,PH170000000,Philippines (the),PH
Flora,PH148103000,NA,NA,NA,Apayao,PH148100000,Cordillera Administrative Region,PH140000000,Philippines (the),PH
Floridablanca,PH035406000,NA,NA,NA,Pampanga,PH035400000,Region III,PH030000000,Philippines (the),PH
Gabaldon,PH034907000,NA,NA,NA,Nueva Ecija,PH034900000,Region III,PH030000000,Philippines (the),PH
Gainza,PH051713000,NA,NA,NA,Camarines Sur,PH051700000,Region V,PH050000000,Philippines (the),PH
Galimuyod,PH012909000,NA,NA,NA,Ilocos Sur,PH012900000,Region I,PH010000000,Philippines (the),PH
Gamay,PH084807000,NA,NA,NA,Northern Samar,PH084800000,Region VIII,PH080000000,Philippines (the),PH
Gamu,PH023113000,NA,NA,NA,Isabela,PH023100000,Region II,PH020000000,Philippines (the),PH
Ganassi,PH153609000,NA,NA,NA,Lanao del Sur,PH153600000,Autonomous Region in Muslim Mindanao,PH150000000,Philippines (the),PH
Gandara,PH086007000,NA,NA,NA,Samar,PH086000000,Region VIII,PH080000000,Philippines (the),PH
Garchitorena,PH051714000,NA,NA,NA,Camarines Sur,PH051700000,Region V,PH050000000,Philippines (the),PH
Garcia Hernandez,PH071222000,NA,NA,NA,Bohol,PH071200000,Region VII,PH070000000,Philippines (the),PH
Gasan,PH174003000,NA,NA,NA,Marinduque,PH174000000,Region IV-B,PH170000000,Philippines (the),PH
Gattaran,PH021513000,NA,NA,NA,Cagayan,PH021500000,Region II,PH020000000,Philippines (the),PH
Gen. Mariano Alvarez,PH042123000,NA,NA,NA,Cavite,PH042100000,Region IV-A,PH040000000,Philippines (the),PH
Gen. S.K. Pendatun,PH153819000,NA,NA,NA,Maguindanao,PH153800000,Autonomous Region in Muslim Mindanao,PH150000000,Philippines (the),PH
General Emilio Aguinaldo,PH042107000,NA,NA,NA,Cavite,PH042100000,Region IV-A,PH040000000,Philippines (the),PH
General Luna,PH045616000,NA,NA,NA,Quezon,PH045600000,Region IV-A,PH040000000,Philippines (the),PH
General Luna,PH166710000,NA,NA,NA,Surigao del Norte,PH166700000,Region XIII,PH160000000,Philippines (the),PH
General Macarthur,PH082607000,NA,NA,NA,Eastern Samar,PH082600000,Region VIII,PH080000000,Philippines (the),PH
General Mamerto Natividad,PH034909000,NA,NA,NA,Nueva Ecija,PH034900000,Region III,PH030000000,Philippines (the),PH
General Nakar,PH045617000,NA,NA,NA,Quezon,PH045600000,Region IV-A,PH040000000,Philippines (the),PH
General Santos City,PH126303000,NA,NA,NA,South Cotabato,PH126300000,Region XII,PH120000000,Philippines (the),PH
General Tinio,PH034910000,NA,NA,NA,Nueva Ecija,PH034900000,Region III,PH030000000,Philippines (the),PH
Gerona,PH036906000,NA,NA,NA,Tarlac,PH036900000,Region III,PH030000000,Philippines (the),PH
Getafe,PH071226000,NA,NA,NA,Bohol,PH071200000,Region VII,PH070000000,Philippines (the),PH
Gigaquit,PH166711000,NA,NA,NA,Surigao del Norte,PH166700000,Region XIII,PH160000000,Philippines (the),PH
Gigmoto,PH052005000,NA,NA,NA,Catanduanes,PH052000000,Region V,PH050000000,Philippines (the),PH
Ginatilan,PH072225000,NA,NA,NA,Cebu,PH072200000,Region VII,PH070000000,Philippines (the),PH
Gingoog City,PH104308000,NA,NA,NA,Misamis Oriental,PH104300000,Region X,PH100000000,Philippines (the),PH
Giporlos,PH082608000,NA,NA,NA,Eastern Samar,PH082600000,Region VIII,PH080000000,Philippines (the),PH
Gitagum,PH104309000,NA,NA,NA,Misamis Oriental,PH104300000,Region X,PH100000000,Philippines (the),PH
Glan,PH128002000,NA,NA,NA,Sarangani,PH128000000,Region XII,PH120000000,Philippines (the),PH
Gloria,PH175206000,NA,NA,NA,Oriental Mindoro,PH175200000,Region IV-B,PH170000000,Philippines (the),PH
Goa,PH051715000,NA,NA,NA,Camarines Sur,PH051700000,Region V,PH050000000,Philippines (the),PH
Godod,PH097225000,NA,NA,NA,Zamboanga del Norte,PH097200000,Region IX,PH090000000,Philippines (the),PH
Gonzaga,PH021514000,NA,NA,NA,Cagayan,PH021500000,Region II,PH020000000,Philippines (the),PH
Governor Generoso,PH112506000,NA,NA,NA,Davao Oriental,PH112500000,Region XI,PH110000000,Philippines (the),PH
Gregorio del Pilar,PH012910000,NA,NA,NA,Ilocos Sur,PH012900000,Region I,PH010000000,Philippines (the),PH
Guagua,PH035407000,NA,NA,NA,Pampanga,PH035400000,Region III,PH030000000,Philippines (the),PH
Gubat,PH056208000,NA,NA,NA,Sorsogon,PH056200000,Region V,PH050000000,Philippines (the),PH
Guiguinto,PH031408000,NA,NA,NA,Bulacan,PH031400000,Region III,PH030000000,Philippines (the),PH
Guimba,PH034911000,NA,NA,NA,Nueva Ecija,PH034900000,Region III,PH030000000,Philippines (the),PH
Guimbal,PH063020000,NA,NA,NA,Iloilo,PH063000000,Region VI,PH060000000,Philippines (the),PH
Guinayangan,PH045618000,NA,NA,NA,Quezon,PH045600000,Region IV-A,PH040000000,Philippines (the),PH
Guindulman,PH071223000,NA,NA,NA,Bohol,PH071200000,Region VII,PH070000000,Philippines (the),PH
Guindulungan,PH153825000,NA,NA,NA,Maguindanao,PH153800000,Autonomous Region in Muslim Mindanao,PH150000000,Philippines (the),PH
Guinobatan,PH050504000,NA,NA,NA,Albay,PH050500000,Region V,PH050000000,Philippines (the),PH
Guinsiliban,PH101802000,NA,NA,NA,Camiguin,PH101800000,Region X,PH100000000,Philippines (the),PH
Guipos,PH097343000,NA,NA,NA,Zamboanga del Sur,PH097300000,Region IX,PH090000000,Philippines (the),PH
Guiuan,PH082609000,NA,NA,NA,Eastern Samar,PH082600000,Region VIII,PH080000000,Philippines (the),PH
Gumaca,PH045619000,NA,NA,NA,Quezon,PH045600000,Region IV-A,PH040000000,Philippines (the),PH
Gutalac,PH097223000,NA,NA,NA,Zamboanga del Norte,PH097200000,Region IX,PH090000000,Philippines (the),PH
Hadji Mohammad Ajul,PH150710000,NA,NA,NA,Basilan,PH150700000,Autonomous Region in Muslim Mindanao,PH150000000,Philippines (the),PH
Hadji Muhtamad,PH150712000,NA,NA,NA,Basilan,PH150700000,Autonomous Region in Muslim Mindanao,PH150000000,Philippines (the),PH
Hadji Panglima Tahil,PH156606000,NA,NA,NA,Sulu,PH156600000,Autonomous Region in Muslim Mindanao,PH150000000,Philippines (the),PH
Hagonoy,PH031409000,NA,NA,NA,Bulacan,PH031400000,Region III,PH030000000,Philippines (the),PH
Hagonoy,PH112404000,NA,NA,NA,Davao del Sur,PH112400000,Region XI,PH110000000,Philippines (the),PH
Hamtic,PH060608000,NA,NA,NA,Antique,PH060600000,Region VI,PH060000000,Philippines (the),PH
Hermosa,PH030805000,NA,NA,NA,Bataan,PH030800000,Region III,PH030000000,Philippines (the),PH
Hernani,PH082610000,NA,NA,NA,Eastern Samar,PH082600000,Region VIII,PH080000000,Philippines (the),PH
Hilongos,PH083719000,NA,NA,NA,Leyte,PH083700000,Region VIII,PH080000000,Philippines (the),PH
Hinabangan,PH086008000,NA,NA,NA,Samar,PH086000000,Region VIII,PH080000000,Philippines (the),PH
Hinatuan,PH166809000,NA,NA,NA,Surigao del Sur,PH166800000,Region XIII,PH160000000,Philippines (the),PH
Hindang,PH083720000,NA,NA,NA,Leyte,PH083700000,Region VIII,PH080000000,Philippines (the),PH
Hingyon,PH142709000,NA,NA,NA,Ifugao,PH142700000,Cordillera Administrative Region,PH140000000,Philippines (the),PH
Hinigaran,PH064511000,NA,NA,NA,Negros Occidental,PH064500000,Region VI,PH060000000,Philippines (the),PH
Hinoba-An,PH064512000,NA,NA,NA,Negros Occidental,PH064500000,Region VI,PH060000000,Philippines (the),PH
Hinunangan,PH086403000,NA,NA,NA,Southern Leyte,PH086400000,Region VIII,PH080000000,Philippines (the),PH
Hinundayan,PH086404000,NA,NA,NA,Southern Leyte,PH086400000,Region VIII,PH080000000,Philippines (the),PH
Hungduan,PH142702000,NA,NA,NA,Ifugao,PH142700000,Cordillera Administrative Region,PH140000000,Philippines (the),PH
Iba,PH037105000,NA,NA,NA,Zambales,PH037100000,Region III,PH030000000,Philippines (the),PH
Ibaan,PH041010000,NA,NA,NA,Batangas,PH041000000,Region IV-A,PH040000000,Philippines (the),PH
Ibajay,PH060406000,NA,NA,NA,Aklan,PH060400000,Region VI,PH060000000,Philippines (the),PH
Igbaras,PH063021000,NA,NA,NA,Iloilo,PH063000000,Region VI,PH060000000,Philippines (the),PH
Iguig,PH021515000,NA,NA,NA,Cagayan,PH021500000,Region II,PH020000000,Philippines (the),PH
Ilagan City,PH023114000,NA,NA,NA,Isabela,PH023100000,Region II,PH020000000,Philippines (the),PH
Iligan City,PH103504000,NA,NA,NA,Lanao del Norte,PH103500000,Region X,PH100000000,Philippines (the),PH
Ilog,PH064513000,NA,NA,NA,Negros Occidental,PH064500000,Region VI,PH060000000,Philippines (the),PH
Iloilo City,PH063022000,NA,NA,NA,Iloilo,PH063000000,Region VI,PH060000000,Philippines (the),PH
Imelda,PH098304000,NA,NA,NA,Zamboanga Sibugay,PH098300000,Region IX,PH090000000,Philippines (the),PH
Impasug-Ong,PH101305000,NA,NA,NA,Bukidnon,PH101300000,Region X,PH100000000,Philippines (the),PH
Imus City,PH042109000,NA,NA,NA,Cavite,PH042100000,Region IV-A,PH040000000,Philippines (the),PH
Inabanga,PH071224000,NA,NA,NA,Bohol,PH071200000,Region VII,PH070000000,Philippines (the),PH
Indanan,PH156601000,NA,NA,NA,Sulu,PH156600000,Autonomous Region in Muslim Mindanao,PH150000000,Philippines (the),PH
Indang,PH042110000,NA,NA,NA,Cavite,PH042100000,Region IV-A,PH040000000,Philippines (the),PH
Infanta,PH015520000,NA,NA,NA,Pangasinan,PH015500000,Region I,PH010000000,Philippines (the),PH
Infanta,PH045620000,NA,NA,NA,Quezon,PH045600000,Region IV-A,PH040000000,Philippines (the),PH
Initao,PH104310000,NA,NA,NA,Misamis Oriental,PH104300000,Region X,PH100000000,Philippines (the),PH
Inopacan,PH083721000,NA,NA,NA,Leyte,PH083700000,Region VIII,PH080000000,Philippines (the),PH
Intramuros,PH133909000,NA,NA,NA,NCR,PH133900000,National Capital Region,PH130000000,Philippines (the),PH
Ipil,PH098305000,NA,NA,NA,Zamboanga Sibugay,PH098300000,Region IX,PH090000000,Philippines (the),PH
Iriga City,PH051716000,NA,NA,NA,Camarines Sur,PH051700000,Region V,PH050000000,Philippines (the),PH
Irosin,PH056209000,NA,NA,NA,Sorsogon,PH056200000,Region V,PH050000000,Philippines (the),PH
Isabel,PH083722000,NA,NA,NA,Leyte,PH083700000,Region VIII,PH080000000,Philippines (the),PH
Isabela,PH064514000,NA,NA,NA,Negros Occidental,PH064500000,Region VI,PH060000000,Philippines (the),PH
Island Garden City of Samal,PH112317000,NA,NA,NA,Davao del Norte,PH112300000,Region XI,PH110000000,Philippines (the),PH
Isulan,PH126504000,NA,NA,NA,Sultan Kudarat,PH126500000,Region XII,PH120000000,Philippines (the),PH
Itbayat,PH020902000,NA,NA,NA,Batanes,PH020900000,Region II,PH020000000,Philippines (the),PH
Itogon,PH141106000,NA,NA,NA,Benguet,PH141100000,Cordillera Administrative Region,PH140000000,Philippines (the),PH
Ivana,PH020903000,NA,NA,NA,Batanes,PH020900000,Region II,PH020000000,Philippines (the),PH
Ivisan,PH061905000,NA,NA,NA,Capiz,PH061900000,Region VI,PH060000000,Philippines (the),PH
Jabonga,PH160205000,NA,NA,NA,Agusan del Norte,PH160200000,Region XIII,PH160000000,Philippines (the),PH
Jaen,PH034912000,NA,NA,NA,Nueva Ecija,PH034900000,Region III,PH030000000,Philippines (the),PH
Jagna,PH071225000,NA,NA,NA,Bohol,PH071200000,Region VII,PH070000000,Philippines (the),PH
Jala-Jala,PH045807000,NA,NA,NA,Rizal,PH045800000,Region IV-A,PH040000000,Philippines (the),PH
Jamindan,PH061906000,NA,NA,NA,Capiz,PH061900000,Region VI,PH060000000,Philippines (the),PH
Janiuay,PH063023000,NA,NA,NA,Iloilo,PH063000000,Region VI,PH060000000,Philippines (the),PH
Jaro,PH083723000,NA,NA,NA,Leyte,PH083700000,Region VIII,PH080000000,Philippines (the),PH
Jasaan,PH104311000,NA,NA,NA,Misamis Oriental,PH104300000,Region X,PH100000000,Philippines (the),PH
Javier,PH083724000,NA,NA,NA,Leyte,PH083700000,Region VIII,PH080000000,Philippines (the),PH
Jiabong,PH086009000,NA,NA,NA,Samar,PH086000000,Region VIII,PH080000000,Philippines (the),PH
Jimalalud,PH074612000,NA,NA,NA,Negros Oriental,PH074600000,Region VII,PH070000000,Philippines (the),PH
Jimenez,PH104207000,NA,NA,NA,Misamis Occidental,PH104200000,Region X,PH100000000,Philippines (the),PH
Jipapad,PH082611000,NA,NA,NA,Eastern Samar,PH082600000,Region VIII,PH080000000,Philippines (the),PH
Jolo,PH156602000,NA,NA,NA,Sulu,PH156600000,Autonomous Region in Muslim Mindanao,PH150000000,Philippines (the),PH
Jomalig,PH045621000,NA,NA,NA,Quezon,PH045600000,Region IV-A,PH040000000,Philippines (the),PH
Jones,PH023115000,NA,NA,NA,Isabela,PH023100000,Region II,PH020000000,Philippines (the),PH
Jordan,PH067902000,NA,NA,NA,Guimaras,PH067900000,Region VI,PH060000000,Philippines (the),PH
Jose Abad Santos,PH118602000,NA,NA,NA,Davao Occidental,PH118600000,Region XI,PH110000000,Philippines (the),PH
Jose Dalman,PH097222000,NA,NA,NA,Zamboanga del Norte,PH097200000,Region IX,PH090000000,Philippines (the),PH
Jose Panganiban,PH051605000,NA,NA,NA,Camarines Norte,PH051600000,Region V,PH050000000,Philippines (the),PH
Josefina,PH097337000,NA,NA,NA,Zamboanga del Sur,PH097300000,Region IX,PH090000000,Philippines (the),PH
Jovellar,PH050505000,NA,NA,NA,Albay,PH050500000,Region V,PH050000000,Philippines (the),PH
Juban,PH056210000,NA,NA,NA,Sorsogon,PH056200000,Region V,PH050000000,Philippines (the),PH
Julita,PH083725000,NA,NA,NA,Leyte,PH083700000,Region VIII,PH080000000,Philippines (the),PH
Kabacan,PH124703000,NA,NA,NA,Cotabato,PH124700000,Region XII,PH120000000,Philippines (the),PH
Kabasalan,PH098306000,NA,NA,NA,Zamboanga Sibugay,PH098300000,Region IX,PH090000000,Philippines (the),PH
Kabayan,PH141107000,NA,NA,NA,Benguet,PH141100000,Cordillera Administrative Region,PH140000000,Philippines (the),PH
Kabugao,PH148104000,NA,NA,NA,Apayao,PH148100000,Cordillera Administrative Region,PH140000000,Philippines (the),PH
Kabuntalan,PH153814000,NA,NA,NA,Maguindanao,PH153800000,Autonomous Region in Muslim Mindanao,PH150000000,Philippines (the),PH
Kadingilan,PH101306000,NA,NA,NA,Bukidnon,PH101300000,Region X,PH100000000,Philippines (the),PH
Kalamansig,PH126505000,NA,NA,NA,Sultan Kudarat,PH126500000,Region XII,PH120000000,Philippines (the),PH
Kalawit,PH097227000,NA,NA,NA,Zamboanga del Norte,PH097200000,Region IX,PH090000000,Philippines (the),PH
Kalayaan,PH043409000,NA,NA,NA,Laguna,PH043400000,Region IV-A,PH040000000,Philippines (the),PH
Kalayaan,PH175321000,NA,NA,NA,Palawan,PH175300000,Region IV-B,PH170000000,Philippines (the),PH
Kalibo,PH060407000,NA,NA,NA,Aklan,PH060400000,Region VI,PH060000000,Philippines (the),PH
Kalilangan,PH101307000,NA,NA,NA,Bukidnon,PH101300000,Region X,PH100000000,Philippines (the),PH
Kalingalan Caluang,PH156603000,NA,NA,NA,Sulu,PH156600000,Autonomous Region in Muslim Mindanao,PH150000000,Philippines (the),PH
Kananga,PH083726000,NA,NA,NA,Leyte,PH083700000,Region VIII,PH080000000,Philippines (the),PH
Kapai,PH153610000,NA,NA,NA,Lanao del Sur,PH153600000,Autonomous Region in Muslim Mindanao,PH150000000,Philippines (the),PH
Kapalong,PH112305000,NA,NA,NA,Davao del Norte,PH112300000,Region XI,PH110000000,Philippines (the),PH
Kapangan,PH141108000,NA,NA,NA,Benguet,PH141100000,Cordillera Administrative Region,PH140000000,Philippines (the),PH
Kapatagan,PH103505000,NA,NA,NA,Lanao del Norte,PH103500000,Region X,PH100000000,Philippines (the),PH
Kapatagan,PH153639000,NA,NA,NA,Lanao del Sur,PH153600000,Autonomous Region in Muslim Mindanao,PH150000000,Philippines (the),PH
Kasibu,PH025009000,NA,NA,NA,Nueva Vizcaya,PH025000000,Region II,PH020000000,Philippines (the),PH
Katipunan,PH097203000,NA,NA,NA,Zamboanga del Norte,PH097200000,Region IX,PH090000000,Philippines (the),PH
Kauswagan,PH103507000,NA,NA,NA,Lanao del Norte,PH103500000,Region X,PH100000000,Philippines (the),PH
Kawayan,PH087806000,NA,NA,NA,Biliran,PH087800000,Region VIII,PH080000000,Philippines (the),PH
Kawit,PH042111000,NA,NA,NA,Cavite,PH042100000,Region IV-A,PH040000000,Philippines (the),PH
Kayapa,PH025010000,NA,NA,NA,Nueva Vizcaya,PH025000000,Region II,PH020000000,Philippines (the),PH
Kiamba,PH128003000,NA,NA,NA,Sarangani,PH128000000,Region XII,PH120000000,Philippines (the),PH
Kiangan,PH142703000,NA,NA,NA,Ifugao,PH142700000,Cordillera Administrative Region,PH140000000,Philippines (the),PH
Kibawe,PH101308000,NA,NA,NA,Bukidnon,PH101300000,Region X,PH100000000,Philippines (the),PH
Kiblawan,PH112406000,NA,NA,NA,Davao del Sur,PH112400000,Region XI,PH110000000,Philippines (the),PH
Kibungan,PH141109000,NA,NA,NA,Benguet,PH141100000,Cordillera Administrative Region,PH140000000,Philippines (the),PH
Kinoguitan,PH104312000,NA,NA,NA,Misamis Oriental,PH104300000,Region X,PH100000000,Philippines (the),PH
Kitaotao,PH101309000,NA,NA,NA,Bukidnon,PH101300000,Region X,PH100000000,Philippines (the),PH
Kitcharao,PH160206000,NA,NA,NA,Agusan del Norte,PH160200000,Region XIII,PH160000000,Philippines (the),PH
Kolambugan,PH103508000,NA,NA,NA,Lanao del Norte,PH103500000,Region X,PH100000000,Philippines (the),PH
Kumalarang,PH097311000,NA,NA,NA,Zamboanga del Sur,PH097300000,Region IX,PH090000000,Philippines (the),PH
La Carlota City,PH064516000,NA,NA,NA,Negros Occidental,PH064500000,Region VI,PH060000000,Philippines (the),PH
La Castellana,PH064517000,NA,NA,NA,Negros Occidental,PH064500000,Region VI,PH060000000,Philippines (the),PH
La Libertad,PH074613000,NA,NA,NA,Negros Oriental,PH074600000,Region VII,PH070000000,Philippines (the),PH
La Libertad,PH097204000,NA,NA,NA,Zamboanga del Norte,PH097200000,Region IX,PH090000000,Philippines (the),PH
La Paz,PH036907000,NA,NA,NA,Tarlac,PH036900000,Region III,PH030000000,Philippines (the),PH
La Paz,PH083728000,NA,NA,NA,Leyte,PH083700000,Region VIII,PH080000000,Philippines (the),PH
La Paz,PH140108000,NA,NA,NA,Abra,PH140100000,Cordillera Administrative Region,PH140000000,Philippines (the),PH
La Paz,PH160304000,NA,NA,NA,Agusan del Sur,PH160300000,Region XIII,PH160000000,Philippines (the),PH
La Trinidad,PH141110000,NA,NA,NA,Benguet,PH141100000,Cordillera Administrative Region,PH140000000,Philippines (the),PH
Laak,PH118202000,NA,NA,NA,Davao de Oro,PH118200000,Region XI,PH110000000,Philippines (the),PH
Labangan,PH097312000,NA,NA,NA,Zamboanga del Sur,PH097300000,Region IX,PH090000000,Philippines (the),PH
Labason,PH097205000,NA,NA,NA,Zamboanga del Norte,PH097200000,Region IX,PH090000000,Philippines (the),PH
Labo,PH051606000,NA,NA,NA,Camarines Norte,PH051600000,Region V,PH050000000,Philippines (the),PH
Labrador,PH015521000,NA,NA,NA,Pangasinan,PH015500000,Region I,PH010000000,Philippines (the),PH
Lacub,PH140109000,NA,NA,NA,Abra,PH140100000,Cordillera Administrative Region,PH140000000,Philippines (the),PH
Lagangilang,PH140110000,NA,NA,NA,Abra,PH140100000,Cordillera Administrative Region,PH140000000,Philippines (the),PH
Lagawe,PH142704000,NA,NA,NA,Ifugao,PH142700000,Cordillera Administrative Region,PH140000000,Philippines (the),PH
Lagayan,PH140111000,NA,NA,NA,Abra,PH140100000,Cordillera Administrative Region,PH140000000,Philippines (the),PH
Lagonglong,PH104313000,NA,NA,NA,Misamis Oriental,PH104300000,Region X,PH100000000,Philippines (the),PH
Lagonoy,PH051717000,NA,NA,NA,Camarines Sur,PH051700000,Region V,PH050000000,Philippines (the),PH
Laguindingan,PH104314000,NA,NA,NA,Misamis Oriental,PH104300000,Region X,PH100000000,Philippines (the),PH
Lake Sebu,PH126319000,NA,NA,NA,South Cotabato,PH126300000,Region XII,PH120000000,Philippines (the),PH
Lakewood,PH097333000,NA,NA,NA,Zamboanga del Sur,PH097300000,Region IX,PH090000000,Philippines (the),PH
Lal-Lo,PH021516000,NA,NA,NA,Cagayan,PH021500000,Region II,PH020000000,Philippines (the),PH
Lala,PH103509000,NA,NA,NA,Lanao del Norte,PH103500000,Region X,PH100000000,Philippines (the),PH
Lambayong,PH126508000,NA,NA,NA,Sultan Kudarat,PH126500000,Region XII,PH120000000,Philippines (the),PH
Lambunao,PH063025000,NA,NA,NA,Iloilo,PH063000000,Region VI,PH060000000,Philippines (the),PH
Lamut,PH142705000,NA,NA,NA,Ifugao,PH142700000,Cordillera Administrative Region,PH140000000,Philippines (the),PH
Langiden,PH140112000,NA,NA,NA,Abra,PH140100000,Cordillera Administrative Region,PH140000000,Philippines (the),PH
Languyan,PH157009000,NA,NA,NA,Tawi-Tawi,PH157000000,Autonomous Region in Muslim Mindanao,PH150000000,Philippines (the),PH
Lantapan,PH101310000,NA,NA,NA,Bukidnon,PH101300000,Region X,PH100000000,Philippines (the),PH
Lantawan,PH150703000,NA,NA,NA,Basilan,PH150700000,Autonomous Region in Muslim Mindanao,PH150000000,Philippines (the),PH
Lanuza,PH166810000,NA,NA,NA,Surigao del Sur,PH166800000,Region XIII,PH160000000,Philippines (the),PH
Laoac,PH015548000,NA,NA,NA,Pangasinan,PH015500000,Region I,PH010000000,Philippines (the),PH
Laoag City,PH012812000,NA,NA,NA,Ilocos Norte,PH012800000,Region I,PH010000000,Philippines (the),PH
Laoang,PH084808000,NA,NA,NA,Northern Samar,PH084800000,Region VIII,PH080000000,Philippines (the),PH
Lapinig,PH084809000,NA,NA,NA,Northern Samar,PH084800000,Region VIII,PH080000000,Philippines (the),PH
Lapu-Lapu City,PH072226000,NA,NA,NA,Cebu,PH072200000,Region VII,PH070000000,Philippines (the),PH
Lapuyan,PH097313000,NA,NA,NA,Zamboanga del Sur,PH097300000,Region IX,PH090000000,Philippines (the),PH
Larena,PH076102000,NA,NA,NA,Siquijor,PH076100000,Region VII,PH070000000,Philippines (the),PH
Las Navas,PH084810000,NA,NA,NA,Northern Samar,PH084800000,Region VIII,PH080000000,Philippines (the),PH
Las Nieves,PH160207000,NA,NA,NA,Agusan del Norte,PH160200000,Region XIII,PH160000000,Philippines (the),PH
Lasam,PH021517000,NA,NA,NA,Cagayan,PH021500000,Region II,PH020000000,Philippines (the),PH
Laua-An,PH060609000,NA,NA,NA,Antique,PH060600000,Region VI,PH060000000,Philippines (the),PH
Laur,PH034913000,NA,NA,NA,Nueva Ecija,PH034900000,Region III,PH030000000,Philippines (the),PH
Laurel,PH041011000,NA,NA,NA,Batangas,PH041000000,Region IV-A,PH040000000,Philippines (the),PH
Lavezares,PH084811000,NA,NA,NA,Northern Samar,PH084800000,Region VIII,PH080000000,Philippines (the),PH
Lawaan,PH082612000,NA,NA,NA,Eastern Samar,PH082600000,Region VIII,PH080000000,Philippines (the),PH
Lazi,PH076103000,NA,NA,NA,Siquijor,PH076100000,Region VII,PH070000000,Philippines (the),PH
Lebak,PH126506000,NA,NA,NA,Sultan Kudarat,PH126500000,Region XII,PH120000000,Philippines (the),PH
Leganes,PH063026000,NA,NA,NA,Iloilo,PH063000000,Region VI,PH060000000,Philippines (the),PH
Legazpi City,PH050506000,NA,NA,NA,Albay,PH050500000,Region V,PH050000000,Philippines (the),PH
