ADM3_EN,ADM3_PCODE,ADM3_REF,ADM3ALT1EN,ADM3ALT2EN,ADM2_EN,ADM2_PCODE,ADM1_EN,ADM1_PCODE,ADM0_EN,ADM0_PCODE
Binidayan,PH153605000,NA,NA,NA,Lanao del Sur,PH153600000,Autonomous Region in Muslim Mindanao,PH150000000,Philippines (the),PH
Binmaley,PH015513000,NA,NA,NA,Pangasinan,PH015500000,Region I,PH010000000,Philippines (the),PH
Binondo,PH133902000,NA,NA,NA,NCR,PH133900000,National Capital Region,PH130000000,Philippines (the),PH
Binuangan,PH104304000,NA,NA,NA,Misamis Oriental,PH104300000,Region X,PH100000000,Philippines (the),PH
Biri,PH084802000,NA,NA,NA,Northern Samar,PH084800000,Region VIII,PH080000000,Philippines (the),PH
Boac,PH174001000,NA,NA,NA,Marinduque,PH174000000,Region IV-B,PH170000000,Philippines (the),PH
Bobon,PH084803000,NA,NA,NA,Northern Samar,PH084800000,Region VIII,PH080000000,Philippines (the),PH
Bocaue,PH031404000,NA,NA,NA,Bulacan,PH031400000,Region III,PH030000000,Philippines (the),PH
Bokod,PH141104000,NA,NA,NA,Benguet,PH141100000,Cordillera Administrative Region,PH140000000,Philippines (the),PH
Bolinao,PH015514000,NA,NA,NA,Pangasinan,PH015500000,Region I,PH010000000,Philippines (the),PH
Boliney,PH140102000,NA,NA,NA,Abra,PH140100000,Cordillera Administrative Region,PH140000000,Philippines (the),PH
Boljoon,PH072212000,NA,NA,NA,Cebu,PH072200000,Region VII,PH070000000,Philippines (the),PH
Bombon,PH051704000,NA,NA,NA,Camarines Sur,PH051700000,Region V,PH050000000,Philippines (the),PH
Bongabon,PH034902000,NA,NA,NA,Nueva Ecija,PH034900000,Region III,PH030000000,Philippines (the),PH
Bongabong,PH175203000,NA,NA,NA,Oriental Mindoro,PH175200000,Region IV-B,PH170000000,Philippines (the),PH
Bongao,PH157002000,NA,NA,NA,Tawi-Tawi,PH157000000,Autonomous Region in Muslim Mindanao,PH150000000,Philippines (the),PH
Bonifacio,PH104203000,NA,NA,NA,Misamis Occidental,PH104200000,Region X,PH100000000,Philippines (the),PH
Bontoc,PH086402000,NA,NA,NA,Southern Leyte,PH086400000,Region VIII,PH080000000,Philippines (the),PH
Bontoc,PH144404000,NA,NA,NA,Mountain Province,PH144400000,Cordillera Administrative Region,PH140000000,Philippines (the),PH
Borbon,PH072213000,NA,NA,NA,Cebu,PH072200000,Region VII,PH070000000,Philippines (the),PH
Boston,PH112503000,NA,NA,NA,Davao Oriental,PH112500000,Region XI,PH110000000,Philippines (the),PH
Botolan,PH037101000,NA,NA,NA,Zambales,PH037100000,Region III,PH030000000,Philippines (the),PH
Braulio E. Dujali,PH112323000,NA,NA,NA,Davao del Norte,PH112300000,Region XI,PH110000000,Philippines (the),PH
Brooke's Point,PH175306000,Brookes Point,NA,NA,Palawan,PH175300000,Region IV-B,PH170000000,Philippines (the),PH
