objectid,code,name,welshname,bng_e,bng_n,long,lat,st_areashape,st_lengthshape
187,S12000040,West Lothian, ,299483,668514,-3.60909,55.8992,426840563.41428787,113825.13088240697
188,S12000041,Angus, ,345518,759594,-2.89189,56.7248,2193995565.904907,245203.0093071716
189,S12000042,Dundee City, ,340291,732145,-2.97095,56.4776,60639153.77071602,38817.684939822706
190,S12000045,East Dunbartonshire, ,261240,676154,-4.22417,55.95829,173578352.1824569,83606.62730806449
191,S12000047,Fife, ,339197,704726,-2.98235,56.231171,1325282490.8753042,251754.62950768386
192,S12000048,Perth and Kinross, ,284304,744186,-3.8848,56.575291,5385637143.901395,482619.75262994546
193,S12000049,Glasgow City, ,261534,667033,-4.21479,55.876492,178522607.56167513,87346.64885183124
194,S12000050,North Lanarkshire, ,277984,665608,-3.9514,55.868141,470403040.70709246,139061.78689394568
195,W06000001,Isle of Anglesey/Ynys Môn,Ynys Môn,245212,378343,-4.32306,53.279419,710126392.1404427,208619.13057572307
196,W06000002,Gwynedd,Gwynedd,280555,334966,-3.77715,52.89883,2554766177.680129,428598.82296773634
197,W06000003,Conwy,Conwy,283293,362563,-3.74646,53.147388,1136763349.2287238,192087.63485583776
198,W06000004,Denbighshire/Sir Ddinbych,Sir Ddinbych,309843,355416,-3.34761,53.088329,834993112.1693654,188604.66296049175
199,W06000005,Flintshire/Sir y Fflint,Sir y Fflint,321134,369280,-3.18248,53.21471,436415582.72547174,135300.38162125563
200,W06000006,Wrexham/Wrecsam,Wrecsam,333523,345387,-2.99203,53.001671,506885367.14792734,155283.77627924527
201,W06000008,Ceredigion,Ceredigion,267127,268437,-3.94993,52.297951,1785331104.3742855,261836.7326334137
202,W06000009,Pembrokeshire/Sir Benfro,Sir Benfro,199821,221392,-4.90818,51.855129,1635007925.095113,346360.4359104397
203,W06000010,Carmarthenshire/Sir Gaerfyrddin,Sir Gaerfyrddin,247954,224133,-4.2111,51.894951,2369376127.006369,316574.6896912886
204,W06000011,Swansea/Abertawe,Abertawe,264022,197308,-3.96723,51.658058,375349174.3330752,147079.19672293108
205,W06000012,Neath Port Talbot/Castell-nedd Port Talbot,Castell-nedd Port Talbot,279261,195412,-3.74638,51.644501,448078907.30696607,121754.95060704772
206,W06000013,Bridgend/Pen-y-bont ar Ogwr,Pen-y-bont ar Ogwr,288231,185870,-3.61375,51.5606,249904235.7095648,76958.97338396961
207,W06000014,Vale of Glamorgan/Bro Morgannwg,Bro Morgannwg,302946,173081,-3.39803,51.44836,330859792.43386483,88779.1007327329
208,W06000015,Cardiff/Caerdydd,Caerdydd,315273,178887,-3.22208,51.502541,142196109.53870696,59976.37289873246
209,W06000016,Rhondda Cynon Taf,Rhondda Cynon Taf,302237,192395,-3.41359,51.621849,422322765.3459172,112336.53350548226
210,W06000018,Caerphilly/Caerffili,Caerffili,317245,195259,-3.19753,51.650009,277815064.26786244,98224.50000047902
211,W06000019,Blaenau Gwent,Blaenau Gwent,318236,206771,-3.18592,51.753639,109273372.2389968,58166.95296830324
212,W06000020,Torfaen,Torfaen,327459,200480,-3.0510100000000002,51.69836,125716747.2797119,68469.96727774615
213,W06000021,Monmouthshire/Sir Fynwy,Sir Fynwy,337812,209231,-2.9028,51.778271,854020864.551816,180482.92286872648
214,W06000022,Newport/Casnewydd,Casnewydd,337897,187432,-2.89769,51.58231,191980302.7721959,87207.52879371631
215,W06000023,Powys,Powys,302329,273255,-3.43531,52.34864,5198694946.93759,503347.4016631573
216,W06000024,Merthyr Tydfil/Merthyr Tudful,Merthyr Tudful,305916,206424,-3.36425,51.748581,113429186.94010496,59195.32634193516
