DateReport,geoid,RegionName,Country,pInf,AB
2022-01-28,MEX484_20_20085,"San Agustín Loxicha, Oaxaca, Mexico",Mexico,NA,3
2022-01-28,MEX484_20_20086,"San Agustín Tlacotepec, Oaxaca, Mexico",Mexico,NA,3
2022-01-28,MEX484_20_20088,"San Andrés Cabecera Nueva, Oaxaca, Mexico",Mexico,NA,3
2022-01-28,MEX484_20_20093,"San Andrés Lagunas, Oaxaca, Mexico",Mexico,NA,3
2022-01-28,MEX484_20_20096,"San Andrés Sinaxtla, Oaxaca, Mexico",Mexico,NA,3
2022-01-28,MEX484_20_20097,"San Andrés Solaga, Oaxaca, Mexico",Mexico,NA,3
2022-01-28,MEX484_20_20099,"San Andrés Tepetlapa, Oaxaca, Mexico",Mexico,NA,3
2022-01-28,MEX484_20_20100,"San Andrés Yaá, Oaxaca, Mexico",Mexico,NA,3
2022-01-28,MEX484_20_20101,"San Andrés Zabache, Oaxaca, Mexico",Mexico,NA,3
2022-01-28,MEX484_20_20105,"San Antonino Monte Verde, Oaxaca, Mexico",Mexico,NA,3
2022-01-28,MEX484_20_20106,"San Antonio Acutla, Oaxaca, Mexico",Mexico,NA,3
2022-01-28,MEX484_20_20108,"San Antonio Huitepec, Oaxaca, Mexico",Mexico,NA,3
2022-01-28,MEX484_20_20109,"San Antonio Nanahuatípam, Oaxaca, Mexico",Mexico,NA,3
2022-01-28,MEX484_20_20110,"San Antonio Sinicahua, Oaxaca, Mexico",Mexico,NA,3
2022-01-28,MEX484_20_20113,"San Baltazar Loxicha, Oaxaca, Mexico",Mexico,NA,3
2022-01-28,MEX484_20_20114,"San Baltazar Yatzachi el Bajo, Oaxaca, Mexico",Mexico,NA,3
2022-01-28,MEX484_20_20116,"San Bartolomé Ayautla, Oaxaca, Mexico",Mexico,NA,3
2022-01-28,MEX484_20_20117,"San Bartolomé Loxicha, Oaxaca, Mexico",Mexico,NA,3
2022-01-28,MEX484_20_20118,"San Bartolomé Quialana, Oaxaca, Mexico",Mexico,NA,3
2022-01-28,MEX484_20_20119,"San Bartolomé Yucuañe, Oaxaca, Mexico",Mexico,NA,3
2022-01-28,MEX484_20_20120,"San Bartolomé Zoogocho, Oaxaca, Mexico",Mexico,NA,3
2022-01-28,MEX484_20_20121,"San Bartolo Soyaltepec, Oaxaca, Mexico",Mexico,NA,3
2022-01-28,MEX484_20_20122,"San Bartolo Yautepec, Oaxaca, Mexico",Mexico,NA,3
2022-01-28,MEX484_20_20123,"San Bernardo Mixtepec, Oaxaca, Mexico",Mexico,NA,3
2022-01-28,MEX484_20_20127,"San Cristóbal Amoltepec, Oaxaca, Mexico",Mexico,NA,3
2022-01-28,MEX484_20_20128,"San Cristóbal Lachirioag, Oaxaca, Mexico",Mexico,NA,3
2022-01-28,MEX484_20_20129,"San Cristóbal Suchixtlahuaca, Oaxaca, Mexico",Mexico,NA,3
2022-01-28,MEX484_20_20131,"San Dionisio Ocotepec, Oaxaca, Mexico",Mexico,NA,3
2022-01-28,MEX484_20_20133,"San Esteban Atatlahuca, Oaxaca, Mexico",Mexico,NA,3
2022-01-28,MEX484_20_20136,"San Felipe Usila, Oaxaca, Mexico",Mexico,NA,3
2022-01-28,MEX484_20_20137,"San Francisco Cahuacuá, Oaxaca, Mexico",Mexico,NA,3
2022-01-28,MEX484_20_20138,"San Francisco Cajonos, Oaxaca, Mexico",Mexico,NA,3
2022-01-28,MEX484_20_20139,"San Francisco Chapulapa, Oaxaca, Mexico",Mexico,NA,3
2022-01-28,MEX484_20_20140,"San Francisco Chindúa, Oaxaca, Mexico",Mexico,NA,3
2022-01-28,MEX484_20_20141,"San Francisco del Mar, Oaxaca, Mexico",Mexico,NA,3
2022-01-28,MEX484_20_20142,"San Francisco Huehuetlán, Oaxaca, Mexico",Mexico,NA,3
2022-01-28,MEX484_20_20143,"San Francisco Ixhuatán, Oaxaca, Mexico",Mexico,NA,3
2022-01-28,MEX484_20_20144,"San Francisco Jaltepetongo, Oaxaca, Mexico",Mexico,NA,3
2022-01-28,MEX484_20_20146,"San Francisco Logueche, Oaxaca, Mexico",Mexico,NA,3
2022-01-28,MEX484_20_20147,"San Francisco Nuxaño, Oaxaca, Mexico",Mexico,NA,3
2022-01-28,MEX484_20_20148,"San Francisco Ozolotepec, Oaxaca, Mexico",Mexico,NA,3
2022-01-28,MEX484_20_20149,"San Francisco Sola, Oaxaca, Mexico",Mexico,NA,3
2022-01-28,MEX484_20_20151,"San Francisco Teopan, Oaxaca, Mexico",Mexico,NA,3
2022-01-28,MEX484_20_20152,"San Francisco Tlapancingo, Oaxaca, Mexico",Mexico,NA,3
2022-01-28,MEX484_20_20154,"San Ildefonso Amatlán, Oaxaca, Mexico",Mexico,NA,3
2022-01-28,MEX484_20_20155,"San Ildefonso Sola, Oaxaca, Mexico",Mexico,NA,3
2022-01-28,MEX484_20_20159,"San Jerónimo Coatlán, Oaxaca, Mexico",Mexico,NA,3
2022-01-28,MEX484_20_20161,"San Jerónimo Sosola, Oaxaca, Mexico",Mexico,NA,3
2022-01-28,MEX484_20_20163,"San Jerónimo Tecóatl, Oaxaca, Mexico",Mexico,NA,3
2022-01-28,MEX484_20_20164,"San Jorge Nuchita, Oaxaca, Mexico",Mexico,NA,3
2022-01-28,MEX484_20_20168,"San José Estancia Grande, Oaxaca, Mexico",Mexico,NA,3
